user_id,age,gender,country,subscription_plan,device_type,churn,avg_watch_time,sessions_per_week,preferred_genre,rating_behavior,join_date,last_active_date
1,40,F,India,basic,tv,0,57.2,1,Fantasy,rare,2020-09-02,2024-12-29
2,29,M,India,standard,mobile,0,103.6,4,Mystery,frequent,2020-01-10,2024-12-25
3,65,M,Canada,standard,tablet,0,99.9,1,Comedy,frequent,2023-04-04,2024-12-30
4,44,F,Japan,basic,laptop,0,38.0,4,Thriller,rare,2020-03-21,2024-12-26
5,37,F,Japan,standard,tablet,0,112.0,4,Documentary,rare,2022-01-14,2024-12-25
6,26,M,Spain,basic,mobile,1,72.2,3,Drama,occasional,2021-08-13,2024-10-22
7,49,F,Germany,premium,tablet,0,157.0,6,Romance,frequent,2023-11-27,2024-12-27
8,18,F,India,basic,tablet,0,80.8,1,Fantasy,rare,2020-03-31,2024-12-25
9,41,F,Italy,basic,tablet,1,83.2,4,Fantasy,occasional,2020-06-05,2024-07-26
10,18,M,Italy,basic,tv,0,51.6,2,Documentary,occasional,2021-04-30,2024-12-31
11,29,M,USA,basic,tv,0,58.3,4,Mystery,occasional,2020-08-25,2024-12-25
12,42,M,USA,basic,tablet,0,103.8,3,Drama,rare,2020-12-23,2024-12-29
13,40,F,Spain,standard,tv,0,28.3,5,Sci-Fi,rare,2020-11-07,2024-12-25
14,38,M,Canada,standard,mobile,0,109.5,4,Thriller,frequent,2022-05-22,2024-12-28
15,37,F,Brazil,basic,tv,0,35.7,4,Romance,frequent,2020-03-19,2024-12-25
16,38,F,Japan,standard,mobile,0,91.5,4,Action,rare,2020-12-10,2024-12-27
17,18,F,Italy,basic,laptop,0,55.1,4,Action,frequent,2020-11-17,2024-12-28
18,43,F,Japan,basic,tv,0,61.8,5,Horror,rare,2020-06-26,2024-12-30
19,38,F,Mexico,basic,mobile,0,65.1,3,Thriller,occasional,2021-02-23,2024-12-26
20,34,F,Germany,standard,tv,0,76.6,5,Thriller,frequent,2020-01-16,2024-12-29
21,63,F,Australia,basic,laptop,0,96.9,3,Crime,frequent,2020-06-05,2024-12-25
22,56,M,Mexico,basic,tv,0,46.5,5,Horror,occasional,2021-05-16,2024-12-27
23,26,M,Australia,basic,tv,0,54.7,2,Crime,rare,2020-09-27,2024-12-31
24,31,M,Canada,standard,laptop,0,103.1,11,Romance,frequent,2021-04-05,2024-12-25
25,24,M,Canada,standard,tv,0,72.5,6,Crime,occasional,2020-06-02,2024-12-30
26,35,M,Japan,premium,laptop,0,134.8,12,Thriller,rare,2020-07-05,2024-12-25
27,31,F,Australia,standard,mobile,0,74.7,6,Romance,occasional,2020-02-08,2024-12-28
28,46,M,UK,premium,mobile,0,115.6,8,Crime,rare,2021-01-20,2024-12-25
29,38,F,Australia,standard,tv,0,85.3,5,Mystery,occasional,2020-11-22,2024-12-30
30,41,F,Italy,premium,tablet,0,142.0,5,Action,rare,2020-02-04,2024-12-27
31,36,Other,UK,basic,tv,0,44.5,1,Action,frequent,2021-01-30,2024-12-25
32,61,M,Italy,standard,tablet,1,69.8,2,Mystery,frequent,2020-12-16,2024-10-22
33,55,M,Canada,premium,laptop,0,75.2,4,Romance,rare,2021-01-15,2024-12-26
34,38,M,Germany,premium,mobile,0,87.1,4,Action,rare,2020-09-09,2024-12-31
35,54,F,Canada,basic,tablet,0,72.0,2,Action,frequent,2023-05-17,2024-12-26
36,34,M,Canada,standard,laptop,1,79.3,11,Horror,frequent,2023-10-08,2024-10-06
37,39,M,Italy,basic,tablet,1,94.4,4,Action,occasional,2023-04-09,2024-07-10
38,19,M,Brazil,standard,mobile,0,106.7,5,Fantasy,frequent,2020-02-29,2024-12-28
39,28,M,India,standard,tablet,0,70.2,3,Mystery,occasional,2020-04-02,2024-12-26
40,20,M,USA,basic,mobile,0,60.8,3,Action,occasional,2020-12-29,2024-12-25
41,45,F,Spain,standard,tv,0,65.3,4,Crime,occasional,2020-06-23,2024-12-31
42,26,M,Mexico,premium,tablet,0,84.2,9,Thriller,frequent,2020-11-04,2024-12-31
43,32,F,Japan,premium,tv,0,51.7,9,Drama,occasional,2020-01-08,2024-12-25
44,29,Other,Australia,standard,tablet,0,102.4,4,Action,frequent,2020-10-28,2024-12-26
45,24,M,Italy,basic,mobile,0,52.3,2,Thriller,occasional,2020-04-27,2024-12-31
46,28,F,Spain,premium,tv,0,165.2,7,Drama,occasional,2022-11-09,2024-12-28
47,45,M,Japan,standard,mobile,0,81.8,7,Drama,rare,2021-01-26,2024-12-25
48,18,M,USA,standard,laptop,0,118.6,2,Thriller,occasional,2024-12-01,2024-12-27
49,40,M,Germany,standard,tablet,0,98.3,3,Documentary,occasional,2021-01-05,2024-12-27
50,55,F,Australia,basic,laptop,0,70.3,3,Horror,occasional,2020-04-13,2024-12-30
51,36,F,Japan,basic,mobile,0,74.5,1,Action,rare,2020-12-09,2024-12-26
52,27,M,France,premium,laptop,0,105.1,3,Sci-Fi,occasional,2020-04-13,2024-12-25
53,45,F,UK,standard,tablet,0,32.0,4,Fantasy,occasional,2020-08-28,2024-12-28
54,26,M,UK,standard,tv,0,112.6,4,Thriller,occasional,2020-09-02,2024-12-26
55,37,M,USA,basic,tablet,0,57.1,3,Documentary,occasional,2020-12-20,2024-12-29
56,30,F,France,premium,tv,0,108.9,12,Drama,occasional,2021-02-17,2024-12-25
57,49,Other,Australia,standard,tv,1,100.5,8,Sci-Fi,rare,2022-06-25,2024-11-25
58,31,F,India,standard,mobile,0,87.6,7,Comedy,frequent,2022-02-28,2024-12-30
59,60,M,Germany,standard,tablet,0,106.8,6,Crime,occasional,2020-10-25,2024-12-25
60,28,M,Spain,premium,laptop,0,129.4,6,Documentary,occasional,2020-04-25,2024-12-27
61,37,M,India,premium,tablet,0,97.3,11,Thriller,occasional,2021-05-22,2024-12-29
62,18,M,USA,standard,mobile,1,81.2,4,Crime,rare,2020-09-03,2024-08-16
63,19,F,Japan,premium,mobile,0,113.2,9,Action,occasional,2021-03-06,2024-12-26
64,26,F,Canada,premium,laptop,0,109.2,6,Sci-Fi,frequent,2021-09-26,2024-12-28
65,22,F,Italy,standard,mobile,0,121.9,6,Thriller,frequent,2021-09-17,2024-12-30
66,42,M,Australia,basic,tv,0,56.6,5,Romance,frequent,2020-09-18,2024-12-28
67,18,M,India,basic,tv,0,41.6,3,Animation,occasional,2020-02-16,2024-12-28
68,62,M,Australia,basic,tablet,0,46.7,1,Horror,occasional,2021-01-09,2024-12-30
69,40,F,France,premium,laptop,0,135.2,9,Crime,rare,2020-10-24,2024-12-29
70,27,F,Brazil,premium,tv,0,108.4,6,Documentary,occasional,2022-12-08,2024-12-30
71,18,F,Mexico,standard,mobile,0,68.2,4,Documentary,occasional,2020-11-29,2024-12-26
72,38,M,India,premium,laptop,1,101.1,2,Drama,occasional,2022-04-25,2024-08-17
73,25,M,Spain,premium,mobile,0,145.9,3,Comedy,rare,2021-02-06,2024-12-29
