user_id,age,gender,country,subscription_plan,device_type,churn,avg_watch_time,sessions_per_week,preferred_genre,rating_behavior,join_date,last_active_date,cluster,monthly_revenue,months_active,ltv,watch_time_minutes,total_watch_time,engagement_multiplier,ltv_adjusted
1,40,F,India,basic,tv,0,57.2,1,Fantasy,rare,2020-09-02,2024-12-29,3,9.99,52.63333333333333,525.807,713.5,713.5,1.4302858521288144,752.0543130502956
2,29,M,India,standard,mobile,0,103.6,4,Mystery,frequent,2020-01-10,2024-12-25,1,14.99,60.36666666666667,904.8963333333334,1074.9,1074.9,1.6482330237607044,1491.4800196799742
3,65,M,Canada,standard,tablet,0,99.9,1,Comedy,frequent,2023-04-04,2024-12-30,2,14.99,21.2,317.788,1088.8,1088.8,1.6566156072850078,526.452560607888
4,44,F,Japan,basic,laptop,0,38.0,4,Thriller,rare,2020-03-21,2024-12-26,2,9.99,58.03333333333333,579.753,735.7,735.7,1.443673863225184,836.9742532263901
5,37,F,Japan,standard,tablet,0,112.0,4,Documentary,rare,2022-01-14,2024-12-25,1,14.99,35.86666666666667,537.6413333333334,2008.0,2008.0,2.2109516343022557,1188.6989846017773
6,26,M,Spain,basic,mobile,1,72.2,3,Drama,occasional,2021-08-13,2024-10-22,3,9.99,38.86666666666667,388.278,887.0,887.0,1.5349173802918827,595.9746505849716
7,49,F,Germany,premium,tablet,0,157.0,6,Romance,frequent,2023-11-27,2024-12-27,0,19.99,13.2,263.86799999999994,1656.4,1656.4,1.9989144855867809,527.4495674828125
8,18,F,India,basic,tablet,0,80.8,1,Fantasy,rare,2020-03-31,2024-12-25,3,9.99,57.666666666666664,576.09,1466.9,1466.9,1.88463394041732,1085.718766735014
9,41,F,Italy,basic,tablet,1,83.2,4,Fantasy,occasional,2020-06-05,2024-07-26,2,9.99,50.4,503.496,977.4,977.4,1.5894343263780002,800.2738255940176
10,18,M,Italy,basic,tv,0,51.6,2,Documentary,occasional,2021-04-30,2024-12-31,3,9.99,44.7,446.55300000000005,759.1,759.1,1.457785550597033,650.978510975757
11,29,M,USA,basic,tv,0,58.3,4,Mystery,occasional,2020-08-25,2024-12-25,3,9.99,52.766666666666666,527.139,1312.0,1312.0,1.7912193945241828,944.2216004100832
