user_id,title_id,watch_time_minutes,rating,watch_date
2827,1229,67.2,,2024-12-20
2093,1563,72.0,,2024-12-24
7164,1746,64.3,,2024-12-23
5917,1576,29.4,2.0,2024-11-16
5014,63,91.9,4.0,2024-11-16
5419,1801,66.7,4.0,2023-10-05
6950,1194,136.1,4.0,2024-12-03
9251,163,81.9,,2024-11-30
9230,518,108.1,,2024-11-17
6527,1443,102.5,,2024-12-08
9711,1612,72.7,4.0,2024-12-12
1209,614,90.0,3.0,2024-12-17
618,1445,63.6,,2024-11-17
2905,1401,95.1,2.0,2024-11-24
8765,1209,42.9,,2024-09-12
2676,1451,49.7,2.0,2024-10-22
8512,1047,32.7,,2024-12-22
4617,124,61.5,,2024-12-04
6540,5,81.6,3.0,2024-12-15
5386,1306,63.7,3.0,2024-12-19
191,1228,72.3,,2024-12-02
8135,58,45.9,3.0,2024-12-31
3644,1219,80.3,2.0,2024-10-27
9116,612,80.4,,2024-12-18
3072,697,100.9,,2024-12-31
3055,358,160.6,,2024-11-11
1592,311,127.5,1.0,2024-12-25
6030,233,48.7,5.0,2024-12-28
135,499,105.9,1.0,2024-10-12
5570,1165,129.2,4.0,2023-12-18
9928,1764,31.9,,2024-12-11
3207,1295,93.3,,2023-08-06
2057,1712,84.0,,2024-11-30
3030,587,109.6,5.0,2024-12-31
6493,55,127.2,4.0,2024-12-16
6415,1603,57.6,,2024-12-31
4768,1924,102.6,5.0,2021-10-25
5698,1774,63.5,,2024-10-28
2335,665,65.1,,2024-12-31
3957,1761,64.5,,2024-12-11
2855,1243,92.5,4.0,2024-12-11
7719,408,34.7,4.0,2024-12-28
6408,245,180.0,3.0,2024-10-19
1005,1745,53.6,,2024-11-21
5022,96,142.1,5.0,2024-12-22
5095,1716,47.9,,2024-11-17
713,409,75.9,,2024-12-01
8005,227,114.3,,2024-12-13
5374,1550,64.2,,2024-11-03
7303,63,71.8,,2024-12-24
2388,684,53.3,2.0,2024-12-07
2820,1519,107.7,,2024-09-03
4797,890,140.9,,2024-09-11
5241,1373,88.3,,2024-12-02
1411,1461,117.7,3.0,2024-12-27
3236,1698,70.8,3.0,2024-09-25
3376,455,84.5,1.0,2024-11-22
6854,107,66.8,5.0,2024-12-04
4562,1389,76.8,,2024-12-25
2554,621,171.0,5.0,2024-11-24
7617,1884,118.3,,2024-12-21
4532,187,109.7,,2024-11-30
4144,1011,29.5,,2024-11-15
3861,1927,74.8,4.0,2024-12-30
6978,1143,62.7,,2024-12-27
6738,1570,60.6,,2024-12-12
6946,1602,60.8,3.0,2024-12-26
7422,58,76.0,,2024-09-29
7069,1186,49.8,,2024-12-14
3157,1938,89.3,2.0,2024-12-27
7920,1581,61.3,4.0,2024-12-28
703,374,180.0,,2024-12-04
8432,454,105.6,3.0,2024-12-14
4660,1228,48.4,4.0,2024-12-25
3901,809,48.4,1.0,2024-12-19
4986,1974,43.4,5.0,2024-11-22
5082,325,50.5,,2024-08-27
7865,740,45.2,2.0,2024-11-30
1819,1477,85.9,,2024-12-06
8969,1624,124.2,,2024-12-30
5120,1349,70.0,,2024-12-23
5591,372,61.8,3.0,2024-12-02
4015,1474,119.8,4.0,2024-05-08
1347,1206,155.7,3.0,2024-11-14
1584,186,80.0,,2024-11-18
4121,384,77.6,,2024-12-14
1050,1384,58.6,1.0,2024-11-23
2422,717,81.1,2.0,2024-06-21
8417,1940,114.9,,2024-12-03
4827,867,127.6,4.0,2024-11-11
6141,1379,142.7,5.0,2024-12-31
5647,288,81.2,4.0,2024-12-31
2200,249,106.1,,2024-10-21
5404,1805,80.4,,2024-12-10
6537,165,119.2,,2024-12-16
2003,103,68.5,,2024-04-25
4323,1572,180.0,,2024-12-19
6357,1369,53.0,,2024-09-26
8407,808,93.9,,2024-11-18
802,1053,40.4,4.0,2024-11-15
6855,1649,107.1,,2024-10-07
4711,1385,116.9,,2024-12-07
1710,1072,180.0,,2024-12-21
5915,1652,69.4,,2024-11-12
7358,1156,163.5,3.0,2024-12-19
2458,1718,67.9,,2024-12-18
9182,1743,117.2,5.0,2024-11-21
3926,152,139.6,4.0,2024-11-12
6096,1283,96.9,5.0,2024-12-27
7556,648,49.3,,2024-12-01
9354,886,86.8,,2024-11-23
3037,1468,18.5,1.0,2024-12-10
5221,1008,114.5,2.0,2024-12-05
8417,678,140.3,,2024-12-21
7783,631,107.5,,2024-12-23
4995,304,139.0,,2024-02-28
4773,409,71.2,4.0,2024-12-31
7562,85,135.4,4.0,2024-10-31
5026,1147,7.5,,2024-11-07
3127,1705,63.0,,2024-11-25
4385,1236,71.7,,2024-12-16
8187,778,107.4,,2024-12-31
4065,1251,72.6,,2024-06-24
3166,135,128.3,3.0,2024-11-08
3618,1473,86.4,,2024-12-26
9414,1506,64.2,,2024-10-29
1378,461,108.4,,2024-12-18
703,689,127.2,5.0,2024-12-24
5584,1137,54.9,,2024-11-07
8215,74,15.9,,2024-12-22
4959,818,79.1,2.0,2024-12-24
8358,1023,92.4,,2024-12-25
7628,1364,100.9,,2024-12-19
9380,1495,71.6,2.0,2024-12-08
5129,1729,86.4,,2024-11-23
4168,1907,67.2,,2024-10-24
2523,1019,66.7,,2024-04-05
8691,1016,53.1,3.0,2024-05-06
5509,11,71.3,4.0,2024-12-20
6504,1170,120.4,,2024-11-19
7399,650,35.1,2.0,2024-12-20
4937,1412,63.1,4.0,2024-12-16
6058,1673,58.1,,2024-11-25
8990,956,82.6,,2024-12-27
4499,615,102.8,,2024-12-02
7652,1811,113.8,1.0,2024-12-31
8959,1997,138.6,,2024-08-14
272,892,145.7,1.0,2024-12-10
10,315,88.2,,2024-12-20
9444,1533,102.8,4.0,2024-10-08
7077,1429,66.0,2.0,2024-12-14
6290,1186,166.4,4.0,2024-12-26
9719,1335,44.9,3.0,2024-12-20
587,341,105.7,4.0,2023-10-05
7001,1077,78.8,,2024-10-20
4944,1969,163.3,,2024-11-30
1638,1151,71.1,,2024-09-21
3933,589,97.5,,2024-12-22
1689,651,39.5,,2024-12-05
635,1535,45.7,,2024-11-29
959,158,55.5,,2024-12-11
6780,1740,85.8,4.0,2024-12-12
5045,1356,31.9,,2024-12-25
4151,1853,73.0,,2024-12-01
2796,1976,75.9,,2024-12-25
3645,394,110.2,,2024-12-25
7012,1655,93.7,,2024-11-13
1284,959,123.3,,2024-12-30
3209,1328,68.3,,2024-12-09
307,287,102.6,,2024-11-13
5022,292,94.2,,2024-11-07
2088,459,135.4,,2024-12-31
3937,144,128.7,2.0,2024-12-21
1117,1225,5.0,3.0,2024-10-04
825,81,62.3,,2024-11-13
5988,393,97.6,,2024-12-31
2724,1889,145.9,,2024-12-07
6768,1357,45.0,,2024-12-07
2321,896,106.6,2.0,2024-12-05
519,1328,61.7,,2024-11-17
9595,1309,67.6,,2024-01-17
4181,125,150.3,,2024-12-26
6652,1259,95.1,,2024-11-28
5926,1813,86.9,3.0,2024-12-14
6678,970,103.2,,2024-11-12
7124,861,96.8,,2024-12-15
9491,792,167.4,,2024-12-01
2051,1793,99.7,,2024-12-13
1309,1942,110.8,,2024-12-24
1779,735,96.2,,2024-11-16
4250,298,93.0,,2024-10-25
4231,1280,105.9,1.0,2024-12-04
7058,1410,122.1,,2024-12-06
7479,1082,78.3,,2024-12-19
5689,1759,89.3,,2024-12-16
9067,266,29.3,1.0,2024-12-25
7462,476,99.3,,2024-12-18
421,1148,123.3,,2024-12-09
5231,1303,44.3,3.0,2024-12-29
7049,1189,86.8,3.0,2024-12-19
8927,914,86.4,,2024-11-23
7850,1326,29.7,,2024-12-18
6350,1718,85.6,,2024-11-28
1946,380,112.5,,2024-12-12
4101,1553,121.2,,2023-10-09
9445,1191,43.4,2.0,2024-11-25
1917,111,146.8,5.0,2024-12-07
902,1090,84.8,,2024-12-25
3071,1874,27.8,,2024-12-20
1149,1135,91.3,,2024-05-09
3988,1,171.6,,2024-12-03
430,1347,53.3,,2024-11-04
9955,1397,47.4,4.0,2024-11-25
9935,755,155.9,,2024-12-07
6792,1413,77.6,,2024-12-22
6909,1643,52.6,,2024-11-26
5841,393,57.0,,2024-12-22
2489,358,121.1,,2024-12-24
3946,693,89.9,,2024-03-11
7966,878,112.9,5.0,2024-11-25
190,1767,54.4,,2024-07-21
7934,10,61.4,2.0,2024-12-22
1437,375,67.5,,2024-11-03
6121,952,77.7,,2024-12-10
